Index,Storm date,Sym-Hmin,Sym-Hmin time,SED start time,SED end time
01,2000-04-06,-320 nT,00:09 UT (+1 day),19:30 UT,02:05 UT (+1 day)
02,2000-07-15,-347 nT,21:54 UT,22:20 UT,02:30 UT (+1 day)
03,2000-09-17,-203 nT,00:24 UT (+1 day),23:25 UT,03:05 UT (+1 day)
04,2000-10-04,-141 nT,19:47 UT,17:50 UT,23:30 UT
05,2000-11-06,-176 nT,21:04 UT,17:00 UT,23:15 UT
06,2001-03-19,-109 nT,21:06 UT,19:35 UT,22:45 UT
07,2001-03-31,-437 nT,08:06 UT,17:20 UT,22:30 UT
08,2001-04-11,-280 nT,23:57 UT,18:15 UT,01:10 UT (+1 day)
09,2001-08-17,-131 nT,21:12 UT,19:00 UT,01:20 UT (+1 day)
10,2001-10-02,-188 nT,14:23 UT (+1 day),19:35 UT,21:50 UT
11,2001-10-28,-150 nT,11:19 UT,18:55 UT,22:55 UT
12,2002-04-18,-151 nT,07:48 UT,18:00 UT,23:10 UT
13,2002-05-11,-110 nT,19:54 UT,19:20 UT,23:30 UT
14,2002-08-02,-115 nT,04:53 UT,19:05 UT,00:30 UT (+1 day)
15,2002-09-07,-168 nT,23:57 UT,19:30 UT,22:50 UT
16,2003-05-29,-164 nT,01:58 UT (+1 day),19:20 UT,02:55 UT (+1 day)
17,2003-10-29,-391 nT,01:48 UT (+1 day),19:35 UT,01:20 UT (+1 day)
18,2003-10-30,-432 nT,22:55 UT,20:45 UT,02:15 UT (+1 day)
19,2003-11-20,-490 nT,18:17 UT,16:40 UT,01:15 UT (+1 day)
20,2004-01-22,-137 nT,13:25 UT,17:00 UT,22:30 UT
21,2004-02-11,-107 nT,17:10 UT,17:15 UT,21:35 UT
22,2004-03-09,-101 nT,05:30 UT (+1 day),17:45 UT,01:15 UT (+1 day)
23,2004-04-03,-149 nT,00:42 UT (+1 day),20:00 UT,01:30 UT (+1 day)
24,2004-07-22,-123 nT,02:40 UT (+1 day),21:00 UT,02:30 UT (+1 day)
25,2004-08-30,-128 nT,22:47 UT,19:30 UT,01:30 UT (+1 day)
26,2005-01-21,-101 nT,06:04 UT (+1 day),22:30 UT,01:00 UT (+1 day)
27,2005-06-12,-113 nT,00:38 UT (+1 day),19:30 UT,01:00 UT (+1 day)
28,2005-08-31,-119 nT,19:08 UT (+1 day),17:50 UT,21:30 UT
29,2011-08-05,-126 nT,03:22 UT (+1 day),20:30 UT,02:40 UT
30,2011-09-26,-116 nT,21:19 UT,20:20 UT,23:50 UT
31,2011-10-24,-160 nT,01:15 UT (+1 day),23:30 UT,08:25 UT
32,2012-04-23,-125 nT,03:26 UT (+1 day),18:10 UT,01:00 UT
33,2012-07-15,-123 nT,10:04 UT,18:00 UT,03:45 UT (+1 day)
34,2012-11-13,-118 nT,07:27 UT (+1 day),20:50 UT,01:30 UT (+1 day)
35,2013-03-17,-132 nT,20:28 UT,17:00 UT,23:50 UT
36,2013-06-28,-111 nT,06:34 UT (+1 day),18:50 UT,02:30 UT (+1 day)
37,2015-03-17,-234 nT,22:47 UT,15:50 UT,01:50 UT (+1 day)
38,2015-06-22,-208 nT,04:24 UT (+1 day),19:10 UT,22:00 UT
39,2015-12-31,-117 nT,01:07 UT (+1 day),16:00 UT,20:45 UT
40,2016-03-06,-110 nT,21:20 UT,20:30 UT,00:50 UT (+1 day)
41,2016-10-13,-114 nT,23:45 UT,15:10 UT,22:10 UT
42,2017-09-07,-146 nT,01:08 UT (+1 day),23:00 UT,01:30 UT (+1 day)
43,2018-08-25,-206 nT,07:11 UT (+1 day),23:00 UT,03:00 UT (+1 day)
44,2022-03-13,-113 nT,23:58 UT,23:00 UT,01:40 UT (+1 day)
45,2023-02-27,-161 nT,12:12 UT,18:40 UT,23:50 UT
46,2023-03-23,-169 nT,02:40 UT (+1 day),20:00 UT,00:30 UT (+1 day)
47,2023-04-23,-233 nT,04:03 UT (+1 day),20:00 UT,23:00 UT
48,2023-11-05,-189 nT,16:54 UT,17:10 UT,23:50 UT
49,2023-12-01,-132 nT,12:37 UT,16:40 UT,00:40 UT (+1 day)
